250,800
250,425
250,775
250,450
250,475
250,750
250,500
250,725
250,525
250,700
250,550
250,675
250,575
250,650
250,275
250,625
250,600
250,200
250,325
250,100
250,300
250,125
250,75
250,350
250,50
250,375
250,25
250,400
250,175
250,225
250,150
250,250
0,550
0,650
0,575
0,625
0,425
0,800
0,450
0,775
0,475
0,750
0,700
0,525
0,725
0,500
0,200
0,600
0,675
0,225
0,175
0,250
0,150
0,275
0,125
0,300
0,100
0,325
0,75
0,350
0,375
0,50
0,400
0,25
